Protein,Delta,DeltaSquared
Plate2_C10_KRT10_Abcam,0.118786209,0.516615902
Plate2_C11_PTP4A3_R&D,-0.043130543,0.02229389
Plate2_C12_KRT14_Abcam,-0.054446,0.055177417
Plate2_C13_TIAM1_R&D,0.065590793,0.064155122
Plate2_C14_L1CAM_Abcam,0.00770034,0.059843142
Plate2_C15_ADAM23_R&D,-0.082414621,0.09993972
Plate2_C16_LEPR_Abcam,-0.076012453,0.056925166
Plate2_C17_STAT4_R&D,0.05380003,0.030634774
Plate2_C18_LGALS7_Abcam,-0.027616264,0.061371776
Plate2_C19_PPP2CA_R&D,-0.04470307,0.095540547
Plate2_C2_ITGB8_Abcam,0.065677757,0.056663148
Plate2_C21_REG3A_R&D,0.114839028,0.232482305
Plate2_C23_THBS4_R&D,-0.002972758,0.057871535
Plate2_C24_LTBP1_Abcam,0.003154343,0.074549156
Plate2_C3_STAT1_R&D,-0.014148542,0.051250588
Plate2_C4_ITSN_Abcam,0.01886819,0.092470961
Plate2_C5_SFRP4_R&D,-0.028630699,0.047463996
Plate2_C6_KIT_Abcam,-0.069483434,0.019587337
Plate2_C7_SIGLEC5_R&D,-0.088956947,0.050641549
