Protein,Delta,DeltaSquared
Plate1_K18_DSTN_Aviva,-0.006645467,0.032112346
Plate1_K19_RBL1_Abnova,-0.064731224,0.123355849
Plate1_K21_RGS10_Abnova,-0.03215677,0.045411526
Plate1_K24_PRDX1_Aviva,0.005741392,0.007021272
Plate1_K3_PLA2G4A_Abnova,0.084894409,0.056737781
Plate1_K4_ENO3_Aviva,0.03988452,0.024462593
Plate1_K6_PRDX6_Aviva,0.059315525,0.035708341
Plate1_K7_PRKCA_Abnova,0.045736866,0.396017294
Plate1_L1_ATOH1_Aviva,0.055217765,0.013072444
Plate1_L10_ACAT1_Aviva,-0.015367138,0.034769954
Plate1_L11_ASGR2_Aviva,-0.002042339,0.083650689
Plate1_L12_AMBP_Aviva,0.032828111,0.033198882
Plate1_L13_RGS12_Aviva,0.055101294,0.040830598
Plate1_L14_CORO1A_Aviva,0.008068133,0.093851046
Plate1_L15_MANSC1_Aviva,0.032601529,0.024929648
Plate1_L16_GOT2_Aviva,0.003504247,0.034022486
Plate1_L17_ENO1_Aviva,-0.058847474,0.072857022
Plate1_L18_HNRNPU_Aviva,-0.013319138,0.025741842
Plate1_L19_ZYX_Aviva,0.04618003,0.022327025
Plate1_L2_G6PD_Aviva,-0.001532266,0.060247838
Plate1_L20_LOXL1_Aviva,0.042005913,0.009045567
Plate1_L21_CSRP1_Aviva,0.018724595,0.036074496
Plate1_L22_MDH2_Aviva,-0.046787246,0.031767466
Plate1_L23_TCF7_Aviva,0.031965609,0.012209779
Plate1_L24_PDLIM5_Aviva,0.035130849,0.061823495
Plate1_L3_LEF1_Aviva,0.061742428,0.011023139
Plate1_L4_GAPDH_Aviva,0.062985869,0.036366111
Plate1_L5_NCOR2_Aviva,0.015919214,0.0514109
Plate1_L6_KLK10_Aviva,-0.002845162,0.032407116
Plate1_L7_PTK2B_Aviva,0.045319693,0.01306604
Plate1_L8_EEA1_Aviva,0.051289376,0.019465086
Plate1_L9_PPARA_Aviva,0.031507317,0.074044023
Plate1_M10_C1GALT1_Aviva,0.01547589,0.036125503
Plate1_M11_TIMP1_Abnova,-0.027030688,0.063961657
Plate1_M12_GAL3ST3_Aviva,0.088896872,0.031471116
Plate1_M13_TIMP2_Abnova,-0.002059454,0.085146369
Plate1_M17_PHLDA2_Abnova,0.085906902,0.113503497
Plate1_M18_PYGO1_Aviva,-0.073416907,0.037009244
Plate1_M19_TTR_Abnova,-0.164383705,0.089899812
Plate1_M20_PYGO2_Aviva,-0.083649849,0.102081118
Plate1_M21_VCL_Abnova,-0.048955826,0.097986047
Plate1_M22_ABCB1_Aviva,0.011527922,0.015688818
Plate1_M23_VCP_Abnova,0.051738567,0.104323885
Plate1_M24_PPIA_Aviva,0.000906637,0.036867652
Plate1_M5_ST13_Abnova,-0.044671902,0.111207527
Plate1_M8_DLL4_Aviva,-0.024451692,0.041297925
Plate1_M9_TFF3_Abnova,0.044605831,0.091315164
Plate1_N10_CDH5_LSBio,-0.00307781,0.065148203
Plate1_N11_RARG_Aviva,0.018694788,0.022647812
Plate1_N12_COL18A1_LSBio,0.078432169,0.041166041
Plate1_N14_CTGF_LSBio,-0.016877957,0.025417937
Plate1_N15_TANK_Aviva,0.102630317,0.025045767
Plate1_N17_MECP2_Aviva,0.107068288,0.052025154
Plate1_N18_HLA-A/HLA-B/HLA-C_LSBio,-0.022879596,0.203097566
Plate1_N19_XBP1_Aviva,-0.041114883,0.077611249
Plate1_N2_SCP2_Aviva,0.014486878,0.010551648
Plate1_N20_SERPINB5_LSBio,0.055957069,0.056488485
Plate1_N21_MEF2A_Aviva,0.063102995,0.037159949
Plate1_N22_THBS1_LSBio,-0.259456323,0.247750748
Plate1_N23_NOTCH1_Aviva,0.076727055,0.051015705
Plate1_N24_THBS1_LSBio,-0.356718991,0.43921278
Plate1_N3_MTA2_Aviva,0.015686811,0.032825357
Plate1_N6_S100A9_Aviva,0.051786017,0.064829586
Plate1_N7_MCM2_Aviva,0.113319499,0.062546718
Plate1_N8_BCL3_LSBio,0.000758951,0.064044482
Plate1_N9_WT1_Aviva,0.036587309,0.041206547
Plate1_O1_VWF_Abnova,-0.016234539,0.028486981
Plate1_O11_MAPKAPK3_Abnova,0.060165758,0.081315526
Plate1_O12_CNN2_Aviva,0.060035247,0.026511445
Plate1_O15_FZD3_Abnova,0.010889973,0.032306264
Plate1_O16_CTTN_Aviva,-0.0299751,0.015449394
Plate1_O17_EIF3A_Abnova,-0.014688766,0.051087806
Plate1_O18_FSTL1_Aviva,0.130176048,0.047248158
Plate1_O19_SNX3_Abnova,0.04329809,0.043084289
Plate1_O21_CRADD_Abnova,-0.051414529,0.457734429
Plate1_O23_TNFSF9_Abnova,0.03297276,0.032386386
Plate1_O24_LRG1_Aviva,0.145465897,0.072359813
Plate1_O3_ZIC3_Abnova,-0.085367457,0.161445672
Plate1_O4_CSNK1A1_Aviva,0.021052966,0.053497299
Plate1_O5_PXDN_Abnova,-0.07095482,0.075530323
Plate1_O6_CPN1_Aviva,0.007457996,0.042606846
Plate1_O7_FZD5_Abnova,-0.062311158,0.068524138
Plate1_O9_MAPKAPK3_Abnova,-0.134882158,0.074853657
Plate1_P1_METTL3_Aviva,0.048329464,0.028832296
Plate1_P10_DGCR6_ProSci,0.077978448,0.09571643
Plate1_P11_KHDRBS3_Aviva,0.063192,0.021227216
Plate1_P12_NDUFA10_ProSci,0.080781647,0.185707814
Plate1_P13_EIF4H_Aviva,0.088950489,0.037248607
Plate1_P14_Empty well_Empty,-0.052728202,0.052697022
Plate1_P15_WNT10B_Aviva,0.02382338,0.017001295
Plate1_P16_ERBB2_R&D,-0.036683781,0.049684124
Plate1_P17_FZD6_Aviva,0.003695842,0.014301779
Plate1_P18_THBS4_R&D,0.040542215,0.028797855
Plate1_P19_FZD7_Aviva,-0.004027054,0.031377621
Plate1_P2_AZGP1_MyBio,-0.073132721,0.03403217
