Protein,Delta,DeltaSquared
Plate1_P17_FZD6_Aviva,-0.064325824,0.018915308
Plate1_P18_THBS4_R&D,0.112173164,0.126663308
Plate1_P19_FZD7_Aviva,-0.031804414,0.020537888
Plate1_P2_AZGP1_MyBio,-0.114058022,0.039245233
Plate1_P20_TLR2_R&D,-0.038331974,0.054489212
Plate1_P21_FZD10_Aviva,0.086533404,0.042571574
Plate1_P22_PRDX6_R&D,-0.070168596,0.048288845
Plate1_P23_FZD4_Aviva,0.066863397,0.044335053
Plate1_P24_SPRED1_R&D,-0.044776092,0.153380582
Plate1_P3_RXRB_Aviva,-0.038872733,0.099748915
Plate1_P4_COMP_MyBio,-0.079745256,0.019058273
Plate1_P5_NFATC1_Aviva,0.001996381,0.023784075
Plate1_P6_COMP_MyBio,-0.091030922,0.021282541
Plate1_P7_ACTB_Aviva,0.006754353,0.003100339
Plate1_P8_UBC_Novus,-0.20344673,0.076720884
Plate1_P9_RARA_Aviva,0.057373937,0.034400303
Plate10_A1_DCD_Santa,0.142817192,0.059059121
Plate10_A10_ENO1_PTG,-0.025279727,0.016153719
Plate10_A12_SFPQ_Abnova,0.000736056,0.0169129
Plate10_A13_SIN3A_Santa,-0.044343624,0.022336765
Plate10_A14_SFRS3_Abcam,-0.233973022,0.102674468
Plate10_A15_SIN3A_Abcam,-0.065926701,0.051506649
Plate10_A16_UBXN1_Sigma,2.67E-05,0.084860161
Plate10_A17_PTPRM_Santa,-0.047339479,0.111427228
Plate10_A18_SSB_Sigma,-0.311665285,0.374078334
Plate10_A19_PTPRM_Santa,-0.054329642,0.293517717
Plate10_A2_ILK_R&D,-0.026736003,0.097635143
Plate10_A20_EIF5A_PTG,-0.013719728,0.180467262
Plate10_A21_GPANK1 (BAT4)_Santa,-0.011384614,0.105101199
Plate10_A24_SLIRP_Abcam,0.093110004,0.048865922
Plate10_A4_G3BP1_Abnova,-0.148345221,0.096599295
Plate10_A5_DCD_Santa,-0.001828508,0.230231711
Plate10_A6_HIST1H1D_Abcam,-0.27595691,0.299511036
Plate10_A7_DCD_Santa,-0.061407164,0.221910172
Plate10_A8_CSRP1_Abcam,-0.094187227,0.214300326
Plate10_A9_DCD_Santa,-0.209022527,0.08810332
Plate10_B1_GJA1(p279)_Lampe_Connexin,0.106586288,0.066871033
Plate10_B10_TP73_Santa,0.084773851,0.06977168
Plate10_B11_TLR2_Abcam,0.059591123,0.13562943
Plate10_B12_Cdkn2a_Santa,0.119145815,0.072066157
Plate10_B13_GPANK1(BAT4)_Abnova,0.030901689,0.118474223
Plate10_B14_Cdkn2a_Santa,0.111339048,0.02650987
Plate10_B15_GPANK1(BAT4)_Abcam,-0.036028948,0.212435206
Plate10_B16_NRN1_Santa,-0.007084519,0.039065119
Plate10_B17_PRG2_Abcam,-0.071523353,0.228615274
Plate10_B18_RUNX3_Santa,-0.025982979,0.071054883
Plate10_B19_PRG2_Abnova,-0.138108504,0.153023345
Plate10_B2_ZYX_ABnova,-0.22132412,0.300652873
Plate10_B20_CLDN18_Santa,0.018742869,0.01611205
Plate10_B21_PRG2_Abcam,-0.105833195,0.139868643
Plate10_B22_Q5T7S2_ABcam,-0.108477978,0.132165627
Plate10_B23_PPP2CA_CSignal,0.008513791,0.029910379
Plate10_B24_MKI67_ABcam,0.003762193,0.026277402
Plate10_B3_TSG101_Santa,0.039741768,0.086060879
Plate10_B4_PDIA3_Santa,-0.074648022,0.048474829
Plate10_B5_SKP2_Santa,-0.097513286,0.329627736
Plate10_B8_TP63_Santa,0.174773173,0.046165251
Plate10_C1_USF1_Santa,-0.002000275,0.042791876
Plate10_C10_CAPN3 (NCL1)_Sigma,-0.06813507,0.038146854
Plate10_C11_Hif3a_Santa,-0.028196848,0.046957144
Plate10_C12_CD59_Abcam,-0.113314845,0.058707921
Plate10_C13_HIF3A_Santa,-0.052721473,0.126009513
Plate10_C14_SRSF1 (SF2)_Abcam,-0.148737641,0.059420829
Plate10_C15_HIF1A_Santa,-0.108396208,0.084277005
Plate10_C16_TPI1_Abcam,-0.107655265,0.222823767
Plate10_C17_HIF1A_Santa,0.047419668,0.01430295
Plate10_C18_RALY_Abcam,-0.03695673,0.02455971
Plate10_C19_HIF1A_Santa,-0.01827721,0.012589016
Plate10_C2_CD44_Abcam,-0.009749923,0.007414078
Plate10_C20_HSPB1_PTG,0.030980237,0.025717049
Plate10_C21_TTR_Dako,-0.109013053,0.055109928
Plate10_C22_PDIA3 (ERp57)_Enzo,-0.014551491,0.011755114
Plate10_C23_MYC_Santa,0.117515434,0.02442078
Plate10_C24_ILK_Sigma,-0.143835633,0.05668777
Plate10_C3_USF1_Santa,-0.09474668,0.042544451
Plate10_C4_CSRP1_Abcam,-0.159764966,0.216492591
Plate10_C5_MAP3K3_Santa,0.018853996,0.049053498
Plate10_C6_HNRPA2B1_Abnova,-0.067603458,0.025222792
Plate10_C7_MAP3K3_Santa,-0.098295473,0.019969149
Plate10_C8_CSRP1_PTG,-0.076250661,0.021135908
Plate10_C9_MAP3K3_Santa,-0.196716406,0.089687722
Plate10_D10_CRB3 _Santa,-0.04166397,0.067458045
Plate10_D11_IGFBP2_R&D,-0.086766601,0.485774384
Plate10_D12_CRP1_Santa,-0.016501614,0.037941661
Plate10_D13_S100A11_ProteinTech,-0.047771008,0.072601081
Plate10_D14_CRP1 _Santa,-0.106512365,0.023508357
Plate10_D15_S100A11_Epitomics,0.096582751,0.044515445
Plate10_D16_ARP _Santa,-0.020476913,0.029430338
Plate10_D17_EHD2_ProteinTech,-0.036257261,0.058844665
Plate10_D18_TAGLN2 _Santa,-0.056972951,0.079074472
Plate10_D19_LY6D_Abnova,-0.036867896,0.069574222
Plate10_D2_HIST1H1E_Upstate,-0.120498228,0.119703875
Plate10_D20_TAGLN2_Santa,-0.14802405,0.055972152
Plate10_D21_ALDH1A3_Abgent,0.042982819,0.022070796
Plate10_D22_FETUB _Santa,0.024319311,0.06720518
Plate10_D23_CAT_Sigma,0.053715312,0.044499051
Plate10_D24_MED12_Santa,0.13870269,0.116150485
Plate10_D3_P4C8_Lampe_LampeLab,0.146643054,0.229731859
Plate10_D4_CA2_Abcam,0.056524996,0.051781792
Plate10_D5_PLA12_Lampe_LampeLab,-0.033555272,0.029348813
Plate10_D6_CRB3 _Santa,-0.185351167,0.052791445
Plate10_D7_S100A11_Abnova,0.069940053,0.032475972
Plate10_D8_CRB3 _Santa,-0.040255356,0.014569493
Plate10_D9_A1BG_Hanash_Inhouse,-0.049690662,0.223501201
Plate10_E1_MYC_Santa,-0.09920941,0.101232614
Plate10_E10_ILK_Abcam,0.000649113,0.077379731
Plate10_E12_Cy3 (not a gene)_Santa,-0.167925719,0.089183611
Plate10_E2_HNRPAB_Genway,-0.015427233,0.019473356
Plate10_E3_MAPK7_Santa,-0.054125083,0.034096808
Plate10_E4_ILK_PIERCE,-0.031320861,0.174519963
